config_id,n_splits,mean_Accuracy,mean_Precision,mean_Recall,mean_F1-Score,mean_Demographic Parity Diff.,mean_Equal Opportunity Diff.,mean_Predictive Parity Diff.,mean_Average Predictive Value Diff.,mean_Average Odds Diff.,std_Accuracy,std_Precision,std_Recall,std_F1-Score,std_Demographic Parity Diff.,std_Equal Opportunity Diff.,std_Predictive Parity Diff.,std_Average Predictive Value Diff.,std_Average Odds Diff.
logistic_regression|none|one-hot|pre=none|tune=none|post=calibrate_equalized_odds,3,0.7440194685703668,0.7740315325048149,0.895760732670604,0.8303478234097442,-0.0712136612136612,-0.036245397373103096,-0.04665313508445579,-0.003513528614282132,-0.058188970021738506,0.016860276512991147,0.0028175790959829253,0.02823862590513728,0.01371436018690995,0.044303474651352925,0.06410112170484429,0.06106795530530692,0.06808662931448425,0.0621008495158308
logistic_regression|none|one-hot|pre=none|tune=none|post=reject_option_classification,3,0.694991398584213,0.8733391608391607,0.6613660540699168,0.7515710884941367,-0.011729701729701761,0.04612030899733396,-0.018963887532047103,0.056400543774963036,0.00735198212758031,0.019497108463919353,0.023550028269265444,0.048362396014116724,0.025252816945550066,0.029151475600207845,0.040592973955864725,0.03524499220628278,0.034467526799326874,0.01674962565523824
logistic_regression|none|one-hot|pre=none|tune=random|post=none,3,0.7360294426162689,0.8024271404597884,0.8330276463323673,0.8134804402796371,-0.009785029785029745,0.024229673081926546,-0.04583386542557296,0.021706908086274974,0.01852420966990531,0.029590562946186123,0.03647911494761749,0.10416108594648385,0.03643094173554209,0.0332577765952491,0.04083301345825271,0.023606684948795302,0.07959604277986917,0.02848907812994522
logistic_regression|none|one-hot|pre=none|tune=random|post=calibrate_equalized_odds,3,0.7320404236571901,0.77530401674806,0.871587004634215,0.8182972953685863,0.034592424592424585,0.05257563267788612,-0.07569738226081746,0.008431178173420706,0.05985941480682853,0.03504009920401946,0.01463050652282278,0.09642783254855895,0.03698020529835444,0.16534637454373202,0.17497475271960905,0.07765982220677085,0.09936612953349298,0.19141657098444834
logistic_regression|none|one-hot|pre=none|tune=random|post=reject_option_classification,3,0.6729843616071162,0.897386740803268,0.6027903109448174,0.7194338371173101,-0.00559818559818559,0.05180122026623731,-0.015730332369808437,0.05751773897217061,0.01672750497658543,0.031580000617424345,0.020778650741694715,0.062211356457086954,0.04105209770924022,0.031212348444127375,0.08008746720361483,0.03761406376138256,0.04317644733020808,0.051042341074521234
random_forest|none|one-hot|pre=none|tune=none|post=none,3,0.7620045194895494,0.7817273122961658,0.9157343213137205,0.8433928348260107,-0.043460803460803464,-0.013737867715471955,-0.05542883297574878,-0.00484505043094513,-0.021150693656953507,0.005967403134668735,0.002309884782792752,0.014872912572631623,0.005334076633718025,0.017170934510808943,0.05184950305473555,0.041428233141783614,0.08223015347867883,0.015542628171586999
random_forest|none|one-hot|pre=none|tune=none|post=calibrate_equalized_odds,3,0.7359844874814935,0.7509637194325158,0.9343323184524901,0.8321240936152222,-0.10948220948220948,-0.04018988791749215,-0.020785618831720736,0.033271039935552194,-0.11977876079396173,0.013517883694225167,0.024200174662692687,0.028976471188470004,0.0030530097992799653,0.08109411194028462,0.07170831980794885,0.083273567503314,0.02762945330529842,0.12350699217622445
random_forest|none|one-hot|pre=none|tune=none|post=reject_option_classification,3,0.7059904215592838,0.8734124817712662,0.6785273223041464,0.7633396875549421,-0.011279531279531296,0.0006868821589986288,-0.07835842908611816,-0.007704076864579783,0.03740443449337529,0.02400153986085796,0.0179707742861879,0.035666846659623434,0.023851442277089033,0.04700041377218695,0.04941793638067098,0.024316621783406205,0.06877769832760257,0.045345914208656565
random_forest|none|one-hot|pre=none|tune=random|post=none,3,0.7479935024845205,0.7697519188078309,0.9200995316875145,0.8361538105215148,-0.02651525651525651,0.0020465603827881282,-0.05362057759136026,-0.014496455509111383,-0.005723088418302204,0.010621935976066853,0.03866792490325039,0.06647482230666482,0.006106290705751082,0.037899127803948766,0.018533105484955525,0.046075306542058624,0.10843740164081486,0.03673594113193433
random_forest|none|one-hot|pre=none|tune=random|post=calibrate_equalized_odds,3,0.7379894864924804,0.7552480174156431,0.9358301847572233,0.8333103764921947,-0.05414596414596414,-0.012726166889939142,-0.04552906117345046,0.10681049630512313,-0.04736027019398329,0.02851947703222338,0.0469218272258453,0.07184789756053331,0.013161359442270416,0.027781776806258682,0.04569815970131989,0.05845900774973958,0.18390221479996718,0.059443437285813125
random_forest|none|one-hot|pre=none|tune=random|post=reject_option_classification,3,0.7449904994815174,0.8491285664718285,0.7742318085665726,0.8075954262450648,-0.041007091007091025,-0.023930244468638118,-0.06555542717578085,-0.009039031838645286,0.0033081444996031634,0.0472681275701486,0.014514185011710132,0.09184697249035778,0.04827477797380995,0.005298382324179875,0.04566458537829427,0.034454370518530966,0.055010945583717025,0.021126479234825402
gradient_boosting|none|one-hot|pre=none|tune=none|post=none,3,0.7410254565943188,0.7772933592676275,0.8828851961899172,0.8267225418579094,-0.015402605402605407,-0.026087807834661025,-0.0898200226035684,-0.05295739377211058,0.021552009076936385,0.03260647751664564,0.018356929309848013,0.02738096195028711,0.022341549663408896,0.06313145774098856,0.05680552576726515,0.06178118117361032,0.04151643687727718,0.050820164746106004
gradient_boosting|none|one-hot|pre=none|tune=none|post=calibrate_equalized_odds,3,0.719009428590267,0.7535055640087185,0.8914627734370223,0.8161156513949374,-0.04711431711431709,-0.030948918945772157,-0.06573616230020525,0.002458485932010257,-0.035582847553888,0.010136362461957635,0.018953979350922023,0.03828857121678678,0.008023759341926548,0.1368815386814497,0.07138167783584724,0.1029141079616588,0.09598141266104276,0.18083474242814898
gradient_boosting|none|one-hot|pre=none|tune=none|post=reject_option_classification,3,0.709005412598227,0.8467829776698089,0.7128437450325862,0.7730963902513105,-0.013936383936383892,-0.0014417196359942652,-0.07385726448304808,-0.006024499683670821,0.02818970258614319,0.048276154423301736,0.017303196939526134,0.06914818101290636,0.04608867687377243,0.02007201474657811,0.05738576347109802,0.04722053270685994,0.04774744770330261,0.028648407289427053
gradient_boosting|none|one-hot|pre=none|tune=random|post=none,3,0.7500224775673878,0.7785422860533614,0.8986097355196069,0.8342299745744085,-0.020814940814940803,-0.02038457282542283,-0.08113414594119539,-0.039751473960874806,0.014875379245121815,0.039642967248554824,0.02495667853492128,0.030203996865968575,0.026290238289803054,0.027770559691450244,0.017116975912357217,0.040538279154076956,0.052329251631327386,0.023090741706531314
gradient_boosting|none|one-hot|pre=none|tune=random|post=calibrate_equalized_odds,3,0.7340154525783268,0.7554495563420014,0.9172077326583764,0.8281682430583012,-0.06806449806449806,-0.04689972434057436,-0.05968020311224272,-0.043813711340742044,-0.05359296478423203,0.01798263232362907,0.008484416877161473,0.04025451154614179,0.015381364136899476,0.052037807630595255,0.0347174600445229,0.07481844190213807,0.03594411874079411,0.07787307554134429
gradient_boosting|none|one-hot|pre=none|tune=random|post=reject_option_classification,3,0.7179904455353556,0.8656551436604941,0.7071090568944647,0.7760289040465613,-0.004721364721364733,0.03331998575041587,-0.04937445147169698,0.027459736962504245,0.028580221216046007,0.053199968287283454,0.005716940304060822,0.09242859630248274,0.05648079709454901,0.02706312955986487,0.01804996622405637,0.04009545510136237,0.020014605510704518,0.013386438010906387
logistic_regression|none|one-hot|pre=reweighing|tune=none|post=none,3,0.7420054785324247,0.7870235788113695,0.8657178142156683,0.8244966498744742,-0.031768271768271794,-0.007373780877490336,-0.06001897104053248,0.006165470674112827,-0.006594873345989886,0.012915075327794128,0.008573608055558601,0.008846199426870425,0.00868165092083549,0.037763239892863336,0.018293385927700277,0.02754151024751837,0.052703605730624645,0.03797230610777362
logistic_regression|none|one-hot|pre=reweighing|tune=none|post=calibrate_equalized_odds,3,0.7360054665443888,0.7725099635215905,0.8828729687098785,0.8239784534965259,-0.0471113071113071,-0.016780346534055985,-0.053240001673038696,0.011015974299455777,-0.031175045686505847,0.0056062784181011415,0.001198465149659194,0.01287334161770572,0.005078779057507132,0.029286567730071145,0.04957936762289136,0.052883988883737104,0.0518816369621114,0.04528524671019785
logistic_regression|none|one-hot|pre=reweighing|tune=none|post=reject_option_classification,3,0.7039944135752519,0.8665080468947872,0.6828191677977085,0.763450716039214,-0.03174055174055174,0.02976609751127664,-0.008906560846531186,0.060051275591557964,-0.013390533751353795,0.008931336690268214,0.01799317252219697,0.02302115632622149,0.010148756549305273,0.019049566507214913,0.04107913167777719,0.028572947359772602,0.04050010564340108,0.018954875230466656
logistic_regression|none|one-hot|pre=reweighing|tune=random|post=none,3,0.7410044775314236,0.7727495130129919,0.8928995023415625,0.8281912631527198,-0.0014442414442414158,0.007981117827529268,-0.07332331116581019,-0.01090107357232308,0.029196631598983985,0.014058849996253977,0.009022342788240835,0.034880050062474174,0.012582671469038064,0.06412209559812418,0.029510435017164,0.04174712812504444,0.09353021714740126,0.06800312867069573
logistic_regression|none|one-hot|pre=reweighing|tune=random|post=calibrate_equalized_odds,3,0.7340034645423866,0.7620004255691989,0.9029015810131691,0.8259100296548141,-0.003966763966763913,0.00867556227197371,-0.07152570970523331,-0.014451527291289087,0.019328800057765345,0.006713746987048395,0.013047829140119026,0.04364168344819941,0.010266738527010771,0.04307434266194822,0.05163309721183312,0.04349414212369873,0.09139536048836926,0.034371566338744115
logistic_regression|none|one-hot|pre=reweighing|tune=random|post=reject_option_classification,3,0.7150024275772778,0.859507798246785,0.7142804739371263,0.7762449140145788,0.008409318409318392,0.05517409254679669,-0.039058889131474116,0.04165409243845559,0.035231727752692656,0.02561195623013409,0.04232141189167062,0.09018472461678659,0.03758844486774896,0.03619524308052417,0.04214195839931576,0.018823396809106684,0.054635550450280436,0.020811611439645775
random_forest|none|one-hot|pre=reweighing|tune=none|post=none,3,0.7590135045224865,0.7767897591219146,0.9200261668072827,0.84229365045263,-0.034684124684124705,-0.014495796063948907,-0.06330979228915556,-0.014645527561141328,-0.009447852101346096,0.016765068692647576,0.004017547315303572,0.024992631953949417,0.012692674698936606,0.03942712848844903,0.030793554367853436,0.04667224913705866,0.09563390857408086,0.060810300608945725
