model_id,model,source,scaler,encoder,bias_pre,tuning,bias_post,n_splits,eta,adversary_loss_weight,num_epochs,classifier_num_hidden_units,debias,mean_Accuracy,mean_Precision,mean_Recall,mean_F1-Score,mean_Demographic Parity Diff.,mean_Equal Opportunity Diff.,mean_Predictive Parity Diff.,mean_Average Predictive Value Diff.,mean_Average Odds Diff.,std_Accuracy,std_Precision,std_Recall,std_F1-Score,std_Demographic Parity Diff.,std_Equal Opportunity Diff.,std_Predictive Parity Diff.,std_Average Predictive Value Diff.,std_Average Odds Diff.
RF012,random_forest,classic,none,none,reweighing,random,reject_option_classification,3,,,,,,0.7399944855034676,0.8549839806759741,0.7585561791570375,0.8011029564558313,-0.0179355579355579,0.024264195414929,-0.040853160927986,0.0303554363303313,0.014273408206714,0.0467908992157098,0.0134836348819591,0.0970080081030205,0.0494674769095015,0.0011444214058638,0.0554221838781789,0.0514645412892325,0.0642290436451106,0.032170108780302
GB007,gradient_boosting,classic,none,none,reweighing,none,none,3,,,,,,0.7610095125065185,0.7949898327805305,0.8871587004634215,0.8385238065951497,-0.0199124299124299,-0.0034430992663022,-0.0689475854143249,-0.0096060678394375,0.0143668832302134,0.0340447809004515,0.017917957158339,0.0315408214966004,0.0239791524578857,0.0421259944797311,0.020567789273935,0.0318346848301904,0.0599737529607792,0.0370973023461524
GB008,gradient_boosting,classic,none,none,reweighing,none,calibrate_equalized_odds,3,,,,,,0.7500074925224626,0.781865903024217,0.8914505459569838,0.8329125930635634,-0.0211964411964411,-0.0027078051486551,-0.0663486260660509,-0.0077408851873168,0.0057291539449509,0.0219996987344243,0.0046811361059565,0.0348364731390941,0.0174638696012651,0.0545108999423294,0.0325403404665305,0.046326855771563,0.0277104106125765,0.0541004725804069
GB009,gradient_boosting,classic,none,none,reweighing,none,reject_option_classification,3,,,,,,0.7190453926980873,0.8625826484363555,0.7129843610530305,0.7768066991718882,0.0062383362383362,0.0463542644624016,-0.0455837500340543,0.0285445796550407,0.0372045306711998,0.0668372167240137,0.0101132218112528,0.120259755164427,0.0671689623898442,0.030064190242577,0.0622057823328374,0.0406711150275514,0.0508682743822757,0.0231405032577993
GB010,gradient_boosting,classic,none,none,reweighing,random,none,3,,,,,,0.7530104955254656,0.7813000585398066,0.8985913942995488,0.8358327155213382,-0.0122582722582722,0.0010350086628602,-0.0714368941149959,-0.0048459347490589,0.0163070805393646,0.0270955622649414,0.0144479961280613,0.0246372701112389,0.0186696891063192,0.0149001325172118,0.0160353954772134,0.0656197730832523,0.0308442625724005,0.0121589510510734
GB011,gradient_boosting,classic,none,none,reweighing,random,calibrate_equalized_odds,3,,,,,,0.7430064795334257,0.7704085660259588,0.9014526246285902,0.8307112217610575,-0.0233786233786233,-0.0030685266906751,-0.0636927224338186,0.0028328710521523,-0.0037476480225518,0.0174437261759311,0.0058385251273505,0.0259445164141091,0.0133445491159382,0.0305587480061475,0.015993493772351,0.0819465975709176,0.0362055030742555,0.0528445027446551
GB012,gradient_boosting,classic,none,none,reweighing,random,reject_option_classification,3,,,,,,0.7569995144845444,0.8498476112825889,0.7928420331853809,0.8202354247301237,-0.0024287224287223,0.0122763959722822,-0.0764285764348087,-0.0037166040496016,0.0444195312866668,0.0240277032662317,0.0119417964446531,0.0293622788790099,0.019997120147989,0.0097170746239896,0.0257686907616136,0.0485591732643389,0.0291906683597632,0.0206638315421659
LG013,logistic_regression,classic,none,one-hot,none,none,none,3,,,,,,0.7460124795454136,0.7896248784046692,0.8685851582847292,0.8272242915216973,-0.0365597765597765,-0.0049322660599717,-0.0530900692094418,0.016973501014655,-0.0151364249355328,0.0150756466359017,0.0098556348877671,0.0105223788876153,0.0101348264065455,0.0330914955332311,0.0309519263545079,0.0305621940706038,0.0528289209910009,0.0332967679077305
LG014,logistic_regression,classic,none,one-hot,none,none,calibrate_equalized_odds,3,,,,,,0.7440194685703668,0.7740315325048149,0.895760732670604,0.8303478234097442,-0.0712136612136612,-0.036245397373103,-0.0466531350844557,-0.0035135286142821,-0.0581889700217385,0.0168602765129911,0.0028175790959829,0.0282386259051372,0.0137143601869099,0.0443034746513529,0.0641011217048442,0.0610679553053069,0.0680866293144842,0.0621008495158308
LG015,logistic_regression,classic,none,one-hot,none,none,reject_option_classification,3,,,,,,0.694991398584213,0.8733391608391607,0.6613660540699168,0.7515710884941367,-0.0117297017297017,0.0461203089973339,-0.0189638875320471,0.056400543774963,0.0073519821275803,0.0194971084639193,0.0235500282692654,0.0483623960141167,0.02525281694555,0.0291514756002078,0.0405929739558647,0.0352449922062827,0.0344675267993268,0.0167496256552382
