config_id,n_splits,mean_Accuracy,mean_Precision,mean_Recall,mean_F1-Score,mean_Demographic Parity Diff.,mean_Equal Opportunity Diff.,mean_Predictive Parity Diff.,mean_Average Predictive Value Diff.,mean_Average Odds Diff.,std_Accuracy,std_Precision,std_Recall,std_F1-Score,std_Demographic Parity Diff.,std_Equal Opportunity Diff.,std_Predictive Parity Diff.,std_Average Predictive Value Diff.,std_Average Odds Diff.,eta,model_name,adversary_loss_weight,num_epochs,classifier_num_hidden_units,debias
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.1,'num_epochs':150,'classifier_num_hidden_units':200,'debias':True}",3,0.6681172190154226,0.8232407058769228,0.683228788379003,0.7259818216436682,-0.1574891674891675,-0.21005163334138854,-0.012118651812420148,-0.016273316398823928,-0.10030049823200755,0.10675394350489212,0.04033011440426414,0.23887961080183795,0.14021974896156286,0.28525647470524945,0.2799615944262448,0.1395205400556462,0.09276079048644997,0.28881426775041585,,adversarial_debiasing,0.1,150.0,200.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.1,'num_epochs':300,'classifier_num_hidden_units':64,'debias':True}",3,0.34804864744984504,0.30952380952380953,0.07439198855507868,0.11995386389850059,-0.07977207977207977,-0.10505050505050505,-0.30952380952380953,-0.1289926413521919,-0.06218708827404479,0.08348241943716221,0.5361109642475096,0.12885070385347872,0.2077661868364051,0.1381692951906797,0.18195281210824568,0.5361109642475096,0.31355204510431434,0.10771119646541634,,adversarial_debiasing,0.1,300.0,64.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.1,'num_epochs':300,'classifier_num_hidden_units':128,'debias':True}",3,0.4431437425449401,0.2745098039215686,0.2603719599427754,0.26725403817914833,-0.016516516516516533,-0.0001426940639269366,-0.00450961841690319,0.04183904177306686,-0.012946276290593917,0.2481911524096388,0.47546492756792713,0.45097746348717554,0.46289757265423737,0.028607445770657162,0.0002471533686599355,0.007810888220824653,0.03142316362712325,0.022423608304133005,,adversarial_debiasing,0.1,300.0,128.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.1,'num_epochs':300,'classifier_num_hidden_units':200,'debias':True}",3,0.42212272152391916,0.26537216828478966,0.23462088698140202,0.24905087319665908,-0.11137011137011138,-0.1305704099821747,-0.013471177944862153,-0.0030932558219011843,-0.09660825314443004,0.2117817459695207,0.45963807838397386,0.40637529676866363,0.43136876604600743,0.1928986913376372,0.22615458405422512,0.023332764638302538,0.09695407702228934,0.16733040287662856,,adversarial_debiasing,0.1,300.0,200.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.5,'num_epochs':50,'classifier_num_hidden_units':64,'debias':True}",3,0.43213273153392917,0.23293172690763053,0.3319027181688126,0.2737463126843658,0.0014245014245014194,0.002020202020202033,-0.005664658025173057,0.03160980542954792,0.0010101010101010166,0.2291195557856178,0.40344958569877465,0.5748723710385973,0.4741425219539582,0.0024673088426907,0.003499092540543209,0.009811475507102515,0.04014598664626559,0.0017495462702716044,,adversarial_debiasing,0.5,50.0,64.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.5,'num_epochs':50,'classifier_num_hidden_units':128,'debias':True}",3,0.7160064255872639,0.7629456676953071,0.8830563809104581,0.811473549168526,-0.02983423983423983,0.036219189870305514,-0.018206176100912908,0.0655558657942465,-0.03451819063442804,0.02029723555160903,0.062486790567994485,0.12968045211509197,0.025667190342627016,0.04954336354083753,0.0734005272597262,0.06206904765953953,0.08628237212077995,0.08038711925651808,,adversarial_debiasing,0.5,50.0,128.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.5,'num_epochs':50,'classifier_num_hidden_units':200,'debias':True}",3,0.4331337325349301,0.23323323323323322,0.3333333333333333,0.2744405182567727,0.0,0.0,-0.02102102102102099,0.016464366464366487,0.0,0.23085333706550795,0.40397180997352194,0.5773502691896258,0.47534492127626427,0.0,0.0,0.036409476435381755,0.052052221419045114,0.0,,adversarial_debiasing,0.5,50.0,200.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.5,'num_epochs':150,'classifier_num_hidden_units':64,'debias':True}",3,0.300000599401797,0.0,0.0,0.0,0.0,0.0,0.0,0.037485387485387496,0.0,0.000519097183281766,0.0,0.0,0.0,0.0,0.0,0.0,0.031753982220695816,0.0,,adversarial_debiasing,0.5,150.0,64.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.5,'num_epochs':150,'classifier_num_hidden_units':128,'debias':True}",3,0.300000599401797,0.0,0.0,0.0,0.0,0.0,0.0,0.037485387485387496,0.0,0.000519097183281766,0.0,0.0,0.0,0.0,0.0,0.0,0.031753982220695816,0.0,,adversarial_debiasing,0.5,150.0,128.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.5,'num_epochs':150,'classifier_num_hidden_units':200,'debias':True}",3,0.300000599401797,0.0,0.0,0.0,0.0,0.0,0.0,0.037485387485387496,0.0,0.000519097183281766,0.0,0.0,0.0,0.0,0.0,0.0,0.031753982220695816,0.0,,adversarial_debiasing,0.5,150.0,200.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.5,'num_epochs':300,'classifier_num_hidden_units':64,'debias':True}",3,0.447780115444786,0.5972799894368522,0.25799371507526014,0.3121140142517815,-0.13831908831908835,-0.1253221873911529,-0.30939617562424576,-0.1240790086776673,-0.11924321929944119,0.19409013354777177,0.5215863306718,0.3546366509844009,0.38075853913735785,0.15109743753479388,0.11271138130396474,0.5662724383947512,0.3173205962985596,0.13885864884875887,,adversarial_debiasing,0.5,300.0,64.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.5,'num_epochs':300,'classifier_num_hidden_units':128,'debias':True}",3,0.300000599401797,0.0,0.0,0.0,0.0,0.0,0.0,0.037485387485387496,0.0,0.000519097183281766,0.0,0.0,0.0,0.0,0.0,0.0,0.031753982220695816,0.0,,adversarial_debiasing,0.5,300.0,128.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.5,'num_epochs':300,'classifier_num_hidden_units':200,'debias':True}",3,0.3598808389227551,0.28294573643410853,0.10398860398860399,0.15208333333333332,-0.12250712250712252,-0.13984674329501914,-0.28294573643410853,-0.11418036592455194,-0.1060344827586207,0.1031965200364115,0.4900763912888683,0.18011354551642172,0.26341606031776676,0.21218856047140094,0.2422216646600154,0.4900763912888683,0.2332490006374575,0.18365711149221714,,adversarial_debiasing,0.5,300.0,200.0,True
